year,agency_code,ach_score,eg_score,books,media_school,devices,device_access,act_per1000,bha_per1000,total_funds,total_ppe,he_pct,music_cat,theatre_cat,poverty,number_of_teachers,pct_met
2019,110342,49.4,57.1,9.71,2004,0.95,Yes,15.5367,52.26,3990061,5635.68,0.244444445,Y,N,NEITHER,55,20
2019,110348,49.2,82.8,31.39,2006,0.77,Yes,2.9762,8.929,2679682,7975.25,0.25,Y,N,HIGH,33,0
2019,110352,77.5,100,18.22,2000,0.72,Yes,21.1132,7.678,6196293,5946.54,0.567164183,Y,Y,NEITHER,78,80
2019,110356,69.9,84.3,24.79,2004,0.82,Yes,4.1209,38.462,4715814,6477.77,0.244444445,Y,N,NEITHER,49,0
2019,110366,79.1,58.7,21.47,2005,0.89,Yes,1.8051,7.22,3531206,6374.02,0.205882356,Y,N,LOW,39,33.3
2019,110368,67.1,83.1,36.56,2000,0.62,Yes,0,5.128,2449499,6280.77,0.208333328,Y,N,NEITHER,31,0
2019,110370,70.9,81.6,26.24,2000,0.97,Yes,0,0,2541097,6321.14,0.159999996,Y,N,NEITHER,29,0
2019,110372,30.7,68.4,43.26,2001,0.93,Yes,0,24.194,2278845,9188.9,0.045454547,Y,N,HIGH,30,11.1
2019,110376,61,84.8,15.04,2007,0.93,Yes,2.4096,21.687,2930662,7061.84,0.423076928,Y,N,NEITHER,31,33.3
2019,110379,64.2,86.5,20.75,2008,0.67,Yes,0,0,4314867,7816.79,0.25,Y,N,NEITHER,42,23.1
2019,110380,74.1,63.9,10.21,2007,0.84,Yes,39.3314,25.565,6063597,5962.24,0.45161289,Y,Y,NEITHER,74,25
2019,110381,71.9,85.9,10.01,2004,0.93,Yes,6.8611,27.444,3501747,6006.43,0.243243247,Y,N,NEITHER,42,16.7
2019,110382,74.1,100,19.93,2003,0.88,Yes,3.5273,10.582,3403643,6002.9,0.540540516,Y,N,NEITHER,41,25
2019,110384,44.4,67.1,28.03,2000,0.9,Yes,2.2883,80.092,2966818,6789.06,0.321428567,Y,N,HIGH,39,0
2019,110388,70.9,80.7,44.13,2003,0.76,Yes,0,0,1428618,8503.69,0.285714299,Y,N,NEITHER,19,0
2019,110401,60.4,64.7,19.38,2004,0.75,Yes,5.1458,30.875,3503858,6010.05,0.314285725,Y,N,NEITHER,43,33.3
2019,110408,58.5,72,20.47,2003,0.91,Yes,5.4152,0,4159929,7508.9,0.224999994,Y,N,HIGH,43,38.5
2019,110410,48.3,72.6,32.24,2002,0.95,Yes,0,25.408,3767367,6837.33,0.375,Y,N,NEITHER,46,20
2019,110412,52.6,75.2,19.47,2002,0.88,Yes,0,37.778,2987252,6638.34,0.392857134,Y,N,NEITHER,34,0
2019,110416,74.8,75.1,12.85,2001,0.78,Yes,24.8105,10.338,9371993,6458.99,0.527472556,Y,Y,LOW,106,10.5
2019,110420,63.4,76.3,19.3,2006,0.77,Yes,18.8679,49.743,4917417,8434.68,0.466666669,Y,Y,NEITHER,51,12.5
2019,110422,63.4,81.9,29.37,2001,0.95,Yes,1.3532,5.413,4951580,6700.38,0.277777791,Y,N,NEITHER,61,6.7
2019,110425,61.1,73.6,14.3,2012,0.98,Yes,4.4843,28.401,3626152,5420.26,0.571428597,Y,N,NEITHER,53,8.3
2019,110428,74.6,75.7,38.19,2004,0.9,Yes,0,5.731,2143811,6142.73,0.200000003,Y,N,NEITHER,27,66.7
2019,110432,0,0,34.07,2002,0.81,Yes,0,0,1892029,8226.22,0.400000006,Y,N,NEITHER,21,
2019,110436,69.8,89.2,39.52,2002,0.96,Yes,0,7.042,4147165,7301.35,0.315789461,Y,N,NEITHER,40,11.1
2019,110444,56.4,83.8,76.56,2003,0.69,Yes,0,38.462,1389713,10690.11,0.352941185,Y,N,NEITHER,21,0
