Time,GeoType,GeoID,GeoRank,Geography,Number,Percent
2010-14,UHF42,203,4,Bedford Stuyvesant - Crown Heights,87679,27.16
2010-14,UHF42,204,4,East New York,61579,33.38
2010-14,UHF42,205,4,Sunset Park,39927,31.12
2010-14,UHF42,206,4,Borough Park,91508,26.92
2010-14,UHF42,207,4,East Flatbush - Flatbush,55829,18.6
2010-14,UHF42,208,4,Canarsie - Flatlands,27217,13.26
2010-14,UHF42,209,4,Bensonhurst - Bay Ridge,33060,16.03
2010-14,UHF42,210,4,Coney Island - Sheepshead Bay,56199,20.42
2010-14,UHF42,211,4,Williamsburg - Bushwick,69577,31.51
2010-14,UHF42,301,4,Washington Heights,66700,25.42
2010-14,UHF42,302,4,Central Harlem - Morningside Heights,49942,29.76
2010-14,UHF42,303,4,East Harlem,35961,32.87
2010-14,UHF42,304,4,Upper West Side,25121,11.62
2010-14,UHF42,305,4,Upper East Side,15708,7.23
2010-14,UHF42,306,4,Chelsea - Clinton,17361,12.07
2010-14,UHF42,307,4,Gramercy Park - Murray Hill,11754,9.56
2010-14,UHF42,308,4,Greenwich Village - SoHo,7910,9.87
2010-14,UHF42,309,4,Union Square - Lower East Side,39567,20.9
2010-14,UHF42,310,4,Lower Manhattan,6001,11.16
2010-14,UHF42,401,4,Long Island City - Astoria,34042,16.69
2010-14,UHF42,402,4,West Queens,88185,19.24
2010-14,UHF42,403,4,Flushing - Clearview,39272,15.15
2010-14,UHF42,404,4,Bayside - Little Neck,7353,8.16
2010-14,UHF42,405,4,Ridgewood - Forest Hills,32243,13.1
2010-14,UHF42,406,4,Fresh Meadows,14433,14.92
2010-14,UHF42,407,4,Southwest Queens,40414,14.31
2010-14,UHF42,408,4,Jamaica,48131,15.97
2010-14,UHF42,409,4,Southeast Queens,20134,7.56
2010-14,UHF42,410,4,Rockaways,22872,20.19
2010-14,UHF42,501,4,Port Richmond,15736,23.52
2010-14,UHF42,502,4,Stapleton - St. George,20584,17.3
2010-14,UHF42,503,4,Willowbrook,6818,7.89
2010-14,UHF42,504,4,South Beach - Tottenville,14267,7.39
2010-14,Borough,1,1,Bronx,419580,30.47
2010-14,Borough,2,1,Brooklyn,595531,23.36
2010-14,Borough,3,1,Manhattan,278958,17.74
2010-14,Borough,4,1,Queens,344920,15.29
2010-14,Borough,5,1,Staten Island,57405,12.33
2010-14,Citywide,1,0,New York City,1696394,20.64
2009-13,UHF42,101,4,Kingsbridge - Riverdale,13604,15.63
2009-13,UHF42,102,4,Northeast Bronx,30221,15.42
2009-13,UHF42,103,4,Fordham - Bronx Pk,76284,31.81
2009-13,UHF42,104,4,Pelham - Throgs Neck,69708,23.1
2009-13,UHF42,105,4,Crotona -Tremont,82665,40.76
2009-13,UHF42,106,4,High Bridge - Morrisania,79874,38.54
