Time,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2016,UHF42,408,4,Jamaica,-,,-
2016,UHF42,409,4,Southeast Queens,-,,-
2016,UHF42,410,4,Rockaways,"9.9* (4.8,19.4)",,"10.6* (4.5,23.0)"
2016,UHF42,501,4,Port Richmond,"6* (2.7,12.7)",,"6.7* (2.8,15.2)"
2016,UHF42,502,4,Stapleton - St. George,"6* (2.7,12.7)",,"6.7* (2.8,15.2)"
2016,UHF42,503,4,Willowbrook,"6.2* (3.0,12.4)",,"5.9* (2.9,11.7)"
2016,UHF42,504,4,South Beach - Tottenville,"6.2* (3.0,12.4)",,"5.9* (2.9,11.7)"
2015,UHF42,101,4,Kingsbridge - Riverdale,-,,-
2015,UHF42,102,4,Northeast Bronx,"8 (4.8,13.2)",,"8.4 (5.0,13.9)"
2015,UHF42,103,4,Fordham - Bronx Pk,"7.9 (5.0,12.2)",,"7.5 (4.6,11.9)"
2015,UHF42,104,4,Pelham - Throgs Neck,"6.1 (3.8,9.6)",,"6.3 (3.8,10.0)"
2015,UHF42,105,4,Crotona -Tremont,"9.9 (7.9,12.4)",,"9.6 (7.5,12.1)"
2015,UHF42,106,4,High Bridge - Morrisania,"9.9 (7.9,12.4)",,"9.6 (7.5,12.1)"
2015,UHF42,107,4,Hunts Point - Mott Haven,"9.9 (7.9,12.4)",,"9.6 (7.5,12.1)"
2015,UHF42,201,4,Greenpoint,"5.2* (1.9,13.2)",,-
2015,UHF42,202,4,Downtown - Heights - Slope,"3.6* (1.8,7.4)",,"3.8* (1.7,8.3)"
2015,UHF42,203,4,Bedford Stuyvesant - Crown Heights,"8.3 (5.3,12.9)",,"8.7 (5.4,13.6)"
2015,UHF42,204,4,East New York,"9.2 (5.5,14.8)",,"10.6 (6.3,17.3)"
2015,UHF42,205,4,Sunset Park,"3.6* (1.4,9.1)",,-
2015,UHF42,206,4,Borough Park,"2.8* (1.4,5.2)",,"2.7* (1.4,5.2)"
2015,UHF42,207,4,East Flatbush - Flatbush,"5 (2.9,8.7)",,"5.2 (2.9,9.1)"
2015,UHF42,208,4,Canarsie - Flatlands,"5.2* (2.7,9.7)",,"5* (2.6,9.6)"
2015,UHF42,209,4,Bensonhurst - Bay Ridge,"2.7* (1.4,5.2)",,"2.9* (1.5,5.6)"
2015,UHF42,210,4,Coney Island - Sheepshead Bay,"6.3 (3.8,10.3)",,"6.8 (4.0,11.3)"
2015,UHF42,211,4,Williamsburg - Bushwick,"6 (3.3,10.5)",,"6.3* (3.3,11.7)"
2015,UHF42,301,4,Washington Heights,"8.3 (5.4,12.5)",,"8.5 (5.5,12.9)"
2015,UHF42,302,4,Central Harlem - Morningside Heights,"6.2* (3.4,11.1)",,"5.6* (3.0,10.1)"
2015,UHF42,303,4,East Harlem,"7.3 (4.4,11.8)",,"6.9 (4.1,11.2)"
2015,UHF42,304,4,Upper West Side,"4* (2.0,7.9)",,"3.9* (2.0,7.7)"
2015,UHF42,305,4,Upper East Side,"5.7* (3.1,10.5)",,"5.9* (3.0,11.2)"
2015,UHF42,306,4,Chelsea - Clinton,"6.4* (3.3,12.1)",,"6.5* (3.1,13.2)"
2015,UHF42,307,4,Gramercy Park - Murray Hill,"5.7* (3.1,10.5)",,"5.9* (3.0,11.2)"
2015,UHF42,308,4,Greenwich Village - SoHo,"6.4* (3.3,12.1)",,"6.5* (3.1,13.2)"
2015,UHF42,309,4,Union Square - Lower East Side,"6.1 (3.5,10.2)",,"5.9 (3.4,10.1)"
2015,UHF42,310,4,Lower Manhattan,"6.1 (3.5,10.2)",,"5.9 (3.4,10.1)"
2015,UHF42,401,4,Long Island City - Astoria,"7.6* (3.5,15.9)",,"7.8* (3.2,17.8)"
2015,UHF42,402,4,West Queens,"4.4 (2.8,6.8)",,"4.2 (2.6,6.8)"
2015,UHF42,403,4,Flushing - Clearview,"5* (2.4,10.3)",,"5.1* (2.5,10.1)"
2015,UHF42,404,4,Bayside - Little Neck,"7* (3.3,14.0)",,"7* (3.4,14.0)"
2015,UHF42,405,4,Ridgewood - Forest Hills,"5.9* (3.1,11.0)",,"6.2* (3.2,11.7)"
2015,UHF42,406,4,Fresh Meadows,"7* (3.3,14.0)",,"7* (3.4,14.0)"
2015,UHF42,407,4,Southwest Queens,"6.8* (3.5,12.9)",,"6.7* (3.4,12.8)"
2015,UHF42,408,4,Jamaica,"5.1 (2.8,9.0)",,"5.4* (2.9,9.6)"
2015,UHF42,409,4,Southeast Queens,-,,-
2015,UHF42,410,4,Rockaways,-,,-
2015,UHF42,501,4,Port Richmond,"6.7* (3.4,12.8)",,"6.9* (3.6,12.9)"
2015,UHF42,502,4,Stapleton - St. George,"6.7* (3.4,12.8)",,"6.9* (3.6,12.9)"
2015,UHF42,503,4,Willowbrook,"4.6* (2.2,9.2)",,"5.1* (2.5,10.1)"
2015,UHF42,504,4,South Beach - Tottenville,"4.6* (2.2,9.2)",,"5.1* (2.5,10.1)"
2014,UHF42,101,4,Kingsbridge - Riverdale,-,,-
2014,UHF42,102,4,Northeast Bronx,"6.8* (3.1,14.6)",,"5.8* (2.6,12.6)"
2014,UHF42,103,4,Fordham - Bronx Pk,"3.2* (1.3,7.9)",,"3.3* (1.2,8.4)"
2014,UHF42,104,4,Pelham - Throgs Neck,"3.4* (1.7,6.4)",,"3.5* (1.8,6.6)"
2014,UHF42,105,4,Crotona -Tremont,"6.3 (4.3,9.1)",,"6.2 (4.2,9.0)"
2014,UHF42,106,4,High Bridge - Morrisania,"6.3 (4.3,9.1)",,"6.2 (4.2,9.0)"
2014,UHF42,107,4,Hunts Point - Mott Haven,"6.3 (4.3,9.1)",,"6.2 (4.2,9.0)"
2014,UHF42,201,4,Greenpoint,-,,-
2014,UHF42,202,4,Downtown - Heights - Slope,"1.1* (0.3,4.6)",,-
2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,"2* (1.0,3.9)",,"2.1* (1.1,4.0)"
2014,UHF42,204,4,East New York,"6.4* (3.4,11.8)",,"6.3* (3.4,11.4)"
2014,UHF42,205,4,Sunset Park,"0.7* (0.2,2.7)",,"0.7* (0.2,2.7)"
2014,UHF42,206,4,Borough Park,"3.1* (1.4,6.7)",,"3.2* (1.4,7.2)"
2014,UHF42,207,4,East Flatbush - Flatbush,"3.1* (1.6,5.9)",,"3.1* (1.6,6.1)"
2014,UHF42,208,4,Canarsie - Flatlands,-,,"2.8* (1.0,7.3)"
